name,name_en,ward,address,gluten_free_items,phone,source_url,image_url,notes,date_added
グルテンフリーカフェ リトルバード,Glutenfree Cafe Little Bird,渋谷区,東京都渋谷区上原1-1-20 JPビル 3F,ハンバーガー; ピザ; ラーメン; うどん; 餃子; 唐揚げ; パスタ; スイーツ,03-3460-8282,https://gohan.life/articles/251,,全メニューが完全グルテンフリーのカフェ。国産米粉100%使用し、小麦・グルテン・麦類を一切使用しない。乳製品フリーのメニューも複数あり。小麦アレルギーの人でも安心して食べられると紹介されており、外国人観光客に人気。個別のクロスコンタミネーションに関する記載は確認できず。,2026-09-11
GLUTEN FREE CAFE avan 渋谷本店,Gluten Free Cafe avan Shibuya Honten,渋谷区,東京都渋谷区神泉町1-20 松濤ビル1階,米粉チュロス（スイートベア等）; タコライス; 自家製からあげプレート; ポテト（フライドポテト）; パスタ; フィナンシェ; バウムクーヘン; グルテンフリーアフタヌーンティー,03-6416-1856,https://www.jalan.net/news/article/835441/,,小麦を一切使用しないグルテンフリー専門カフェ。山形県庄内産の米粉を使用。食事メニューもデザートも完全グルテンフリー。クロスコンタミネーションに関する具体的な記載は確認できず。,2026-09-11
Café ON田,Cafe ONDEN,渋谷区,東京都渋谷区原宿（明治神宮前駅・原宿駅から徒歩8分）,グルテンフリーのピザ; グルテンフリーのパン,,https://www.ondenhouse.jp/cafe/,,米粉を使ったグルテンフリー・無添加・手作りにこだわったカフェ。山梨県産こしひかりの米粉、グルテンフリーの醤油や味噌を使用。カフェ、ベーカリー、料理教室からなる複合店。公式サイトでは「営業再開に向けて準備中」との記載があり、営業状況は要確認。番地までの詳細住所は公式ページ上で確認できず。,2026-09-11
炙り味噌らーめん 麺匠 真武咲弥 渋谷店,Shinbusakiya Shibuya,渋谷区,東京都渋谷区道玄坂2-10-3,炙り味噌野菜増 玄米麺（グルテンフリー）; ヴィーガン/ベジタリアン向けグルテンフリーラーメン,03-6416-3778,https://www.gltjp.com/en/directory/item/17120/,,通常の小麦麺ラーメンも提供する一般的なラーメン店だが、グルテンフリー（玄米麺）・ノンポーク・ヴィーガン対応のラーメンを別途用意。専門店ではないため、同一厨房での調理によるクロスコンタミネーションの懸念があり、重度のアレルギー・セリアック病の方は事前確認を推奨。,2026-09-11
BiOcafe,BiOcafe,渋谷区,東京都渋谷区宇田川町16-14 パティオ1 1F,グルテンフリーベジバーガー; 玄米の生パスタ,,https://travel.yahoo.co.jp/kanko/spot-00027749/,,完全無農薬・無化学肥料野菜を使用する日本初のオーガニックカフェレストラン。全メニューがグルテンフリーではなく、一部（ベジバーガー、玄米生パスタ等）がグルテンフリー。店内では通常の小麦パン（ベーグル・バゲット等）も提供・販売しており、クロスコンタミネーションの可能性があるため、重度アレルギーの方は事前確認を推奨。,2026-09-11
SHOGUN PIZZA 渋谷スペイン坂店,SHOGUN PIZZA Shibuya,渋谷区,東京都渋谷区宇田川町13-4 スペイン坂OKビル1F,燻製マルゲリータ（グルテンフリー生地）; 生ハムとフレッシュサラダのピザ（グルテンフリー生地）,03-6416-1553,https://glutenfree.empacede.co.jp/cafe-gf-tokyo/,,グルテンフリー専門店ではない。ピザは8種類あるが、グルテンフリー生地に変更できるのは燻製マルゲリータと生ハムとフレッシュサラダのピザの2種類のみ（追加料金）。グルテンフリー生地は奈良のPIZZERIA ICAROが手掛けたもの。通常の小麦ピザも同店で扱っているため、クロスコンタミネーションに注意が必要。,2026-09-11
グルテンフリーカフェ avan 渋谷本店,GLUTEN FREE CAFE avan Shibuya,渋谷区,東京都渋谷区神泉町1-20 松濤ビル 1F,米粉チュロス（プレーン/シナモンシュガー/キャラメル/チョコ等）; 米粉チュロス＆ポテト（塩・のりしお・コーンポタージュ・バジル・ブラックペッパー各フレーバー）; からあげ; タコライス; 米粉フィナンシェ; 米粉バウムクーヘン; 米粉マドレーヌ; 完全グルテンフリーのアフタヌーンティーコース,,https://www.hotpepper.jp/strJ001292416/food/,,小麦を一切使用しないグルテンフリー専門店。山形県庄内産『はえぬき』の米粉と米油を使用。調味料も各メーカーに問い合わせ小麦不使用のもののみ使用しているとされ、専門店として配慮が高い。乳・大豆などのアレルギー品目は各商品ごとに表示あり。,2026-09-11
BiOcafe（ビオカフェ）,BiOcafe,渋谷区,東京都渋谷区宇田川町16-14 パティオI 1F,グルテンフリーベジバーガー（植物性パティ・小麦不使用パン）; グルテンフリー唐揚げ（自家製タルタルソース）; 玄米生パスタ; 月替わりのグルテンフリーランチ; マクロビスイーツ,03-5428-3322,https://biocafe.jp/,,無農薬・無化学肥料野菜を使う日本発のオーガニックカフェレストラン。一部のメニューがグルテンフリー対応で、全店グルテンフリーではない。併設ブーランジェリーでは国産小麦を使った自家製ベーグル・パンも販売しているため、小麦を扱う環境でのコンタミネーションに注意が必要。,2026-09-11
Café ON田（オンデン）,Cafe ONDEN,渋谷区,東京都渋谷区（原宿エリア、明治神宮前駅・原宿駅から徒歩8分）,グルテンフリーのピザ; グルテンフリーのパン（米粉パン）; 米粉を使ったグルテンフリー料理,,https://www.ondenhouse.jp/cafe/,,「グルテンフリー」「無添加」「手作り」にこだわった米粉専門のカフェ。山梨県産特別栽培米こしひかりの米粉、白神こだま酵母、国産キビ砂糖を使用し、醤油・味噌もグルテンフリー。公式サイト上ではカフェ（Café ONDEN）が営業再開準備中との記載あり。訪問前に営業状況の確認を推奨。番地までの正確な住所は確認できず。,2026-09-11
Gluten Free T's Kitchen 原宿店,Gluten Free T's Kitchen Harajuku,渋谷区,,唐揚げ; まぜそば; コーンクリームコロッケ（手作り・ヴィーガン仕上げ）; ラーメン,,https://dessa-allergy.com/glutenfreetskitchen20260627/,,アジア初のグルテンフリー認証店「T'sキッチン」の3号店で、「グルテンフリー居酒屋」がコンセプト。小麦・大麦・ライ麦を一切使わず、卵・乳アレルギー、ヴィーガン、ベジタリアンにも対応。ただし公式に「同一工場での小麦取り扱いがある材料もあるため、慎重な方は注意」との明記あり（セリアック患者は要確認）。原宿店の正確な番地・電話番号は今回の検索では確認できず。,2026-09-11
