name,name_en,ward,address,gluten_free_items,phone,source_url,image_url,notes,date_added
グルテンフリーカフェ リトルバード,glutenfree cafe little bird,渋谷区,東京都渋谷区上原1-1-20 JPビル 3F,米粉のピザ; 米粉のハンバーガー; 米粉パスタ; 米粉の唐揚げ; 餃子; グルテンフリーラーメン; グルテンフリーうどん; お好み焼き; シンパンケーキ（米粉カスタードパンケーキ）; シューサンドイッチ; 米粉のホームメイドスイーツ; ワッフル,03-3460-8282,https://gohan.life/articles/251,,全メニューが国産米粉100%使用の完全グルテンフリーのカフェ。先代・現オーナーともグルテンアレルギー当事者で、微量の麦混入にも敏感に対応するなどセリアック・小麦アレルギー対応に配慮があるとされる。乳製品フリーのメニューも数種あり。ただし食べログ等では『営業状況が未確認（移転または閉店の可能性）』との表示があるため、訪問前に営業状況の確認を強く推奨する。,2026-06-24
炙り味噌らーめん 麺匠 真武咲弥 渋谷店,Samurai Noodle Shibuya (Shinbusakiya),渋谷区,東京都渋谷区道玄坂2-10-3,"炙り味噌野菜増 玄米麺（グルテンフリーラーメン、1,450円）; 玄米麺を使ったグルテンフリー味噌ラーメン",,https://www.gltjp.com/ja/directory/item/17120/,,グルテンフリー専門店ではなく、通常の小麦のちぢれ麺に加えて選択肢として玄米麺（グルテンフリー）を用意しているラーメン店。ノンポーク・ヴィーガン対応メニューもある。一般の小麦麺と同じ厨房で調理されるため、小麦との交差汚染（コンタミネーション）のリスクは排除できない点に注意。電話は予約不可。,2026-06-24
My Banh Mi by Gluten Free TOKYO,My Banh Mi by Gluten Free TOKYO,渋谷区,東京都渋谷区神宮前1-20-4 アクシア原宿103,スタンダードバインミー（鶏むね肉ハム、米糀甘酒・カシューナッツ使用）; VEGANソイミートバインミー; 発酵あんこ＆自家製アーモンドバターのスイーツ系バインミー; ピーナッツバターサンド（バインミー）; サバガーリックサンド; サバ＆ミントソースのバインミー; グルテンフリーカヌレ; グルテンフリースコーン,090-3176-8131,https://jp.trip.com/moments/detail/tokyo-294-137472148/,,熊本県産米粉「ミズホチカラ」100%と天然酵母を使った米粉バゲットを使用する、全メニューがグルテンフリーのバインミー専門店。ラードや白砂糖不使用で、ヴィーガン対応メニューもある。なお公式インスタグラムによると原宿店は物件の都合で移転予定との告知があり、食べログでも営業状況未確認の表示があるため、来店前に最新の所在地・営業状況の確認を推奨。,2026-06-24
グルテンフリースイーツ専門店 NachuRa YOYOGI PARK 本店,NachuRa Yoyogi park,渋谷区,東京都渋谷区富ヶ谷1-17-7 第二山栄ビル1階,チーズケーキ（北海道産素材のスペシャルチーズケーキ）; ピスタチオのシュークリーム; フィナンシェ; グルテンフリークッキー（オリジナルブレンドのコーヒー味など）; ヴィーガンビスケット（ラングドシャ風）; ペット用スイーツ,070-4680-4217,https://tomigaya-shinbun.com/natura.html/,,全スイーツが小麦・白砂糖不使用のグルテンフリースイーツ専門店（パティスリー兼カフェ）。小麦の代わりに米粉、白砂糖の代わりに甜菜糖を使用。元は南青山にあり富ヶ谷へ移転。卵・乳製品（北海道産）は使用するため乳・卵アレルギーには注意。ヴィーガン対応の焼き菓子もあり全国発送可。営業時間8:00～17:00、定休日は月曜（祝日の場合翌日）。,2026-06-24
グルテンフリーカフェ avan 渋谷本店,GLUTEN FREE CAFE avan,渋谷区,東京都渋谷区神泉町1-20 松濤ビル1F,"米粉チュロス; モーニングチュロス（朝限定、スクランブルエッグとサラダ付き）; タコライス（1,200円）; 自家製からあげプレート（1,200円）; 米粉スイーツ; グルテンフリーアフタヌーンティー",,https://www.jalan.net/news/article/835441/,,小麦を一切使用しないグルテンフリー専門カフェ。山形県庄内産の米粉を使用した米粉チュロスが看板メニュー。専門店のため店舗全体がグルテンフリーで、交差汚染リスクは比較的低いと考えられるが、詳細はアレルギー対応について店舗への確認を推奨。神泉駅徒歩約3～5分。,2026-06-24
Café ON田（カフェオンデン）,Cafe ONDEN,渋谷区,東京都渋谷区原宿（神宮前）※明治神宮前駅・原宿駅から徒歩8分,"米粉のピザ（一膳のピザ：トマトソース、しらすとネギの和風など）; サラダランチプレート（オーガニックサラダ・スープ・米粉パン・おから生地の素焼きピザ付き、1,080円）; 米粉のパン（オンデンベーカリー）",,https://www.ondenhouse.jp/cafe/,,米粉（山梨県産特別栽培米のこしひかり）を使ったグルテンフリー・無添加・手作りにこだわる専門カフェ。醤油や味噌などの調味料もグルテンフリーで、小麦アレルギーの人や小さい子どもも安心して利用できるとされる。公式サイトに『現在営業再開に向けて準備中』との記載があるため、来店前に営業状況の確認が必要。番地等の詳細住所は公式上で明示確認できなかった。,2026-06-24
SHARK COFFEE,SHARK COFFEE,渋谷区,東京都渋谷区宇田川町2-1 渋谷ホームズ1F,レモンヨーグルトヘルシーチーズケーキ（グルテンフリー&ヴィーガン）,,https://fruoats.jp/blog/2023/11/02/shinjuku-glutenfree-shibuya/,,渋谷PARCO近くのオーガニックスイーツ＆ドリンクを扱うグルテンフリー対応カフェ。専門店ではなく一部のメニュー（グルテンフリー&ヴィーガンのチーズケーキ等）がグルテンフリー。グルテンフリー以外のメニューも提供されるため交差汚染の可能性については店舗確認を推奨。営業時間8:00～19:00、渋谷駅から徒歩約7分。,2026-06-24
そらのいろ NIPPON,Soranoiro NIPPON,千代田区,〒100-0005 東京都千代田区丸の内1丁目9-1 東京駅一番街 地下 東京ラーメンストリート（JR東京駅八重洲地下街直結）,グルテンフリー塩らーめん（島根県雲南市・宮内舎の玄米麺使用）; ヴィーガン水餃子（皮に米粉使用、グルテンフリー対応可）; 各ラーメンの玄米麺への変更（ベジソバ等、追加料金で変更可）,,https://soranoiro-vege.com/store-menu/soranoiro-nippon/,,完全グルテンフリー店ではなく、一部メニューがグルテンフリー。完全対応は『グルテンフリー塩ラーメン』で、注文時に小麦アレルギーを伝えると通常麺とは別の専用釜で玄米麺を茹でてもらえる。ベジソバ等の玄米麺への変更（+250〜400円）は可能だが、味玉など醤油使用のトッピングは対象外。水餃子はコンタミネーション（混入）の可能性があると店が明記している。営業9:00〜23:00（LO22:30）、年中無休。,2026-06-24
日本一おいしい玄米パスタ UN-GLUTEN,UN-GLUTEN (Angluten),千代田区,〒101-0047 東京都千代田区内神田1-18-9 ノシロビル1F,玄米生パスタ（国産コシヒカリの玄米100%、ル・ゲンマイ使用）; ほうれん草とベーコンのクリームパスタ; エビとブロッコリーのジェノベーゼ; ナポリ風イタリアンチーズパスタ; たけのこときのこの和風パスタ; ジェラート（レックス・ベリー スウィートベリー等）,03-5244-5355,https://kanda.keizai.biz/release/144159/,,玄米パスタ専門店。グルテンフリーのパスタが看板で、フードの調味料も小麦不使用とされる。メニューは9種類の玄米パスタとジェラートが中心。完全キャッシュレス決済のみ。営業11:30〜20:30（LO20:00）。専用キッチンの認証等の記載はなく、重度のセリアック対応可否は店への確認を推奨。,2026-06-24
REVIVE KITCHEN THREE HIBIYA,REVIVE KITCHEN THREE HIBIYA,千代田区,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 2F,季節のフルーツとライスミルクのソフトクリームパフェ; ライスミルクソフトクリーム; デザート類（基本的にすべてグルテンフリー／グルテンレスを意識）,,https://precious.jp/articles/-/13679,,デリ＆カフェレストラン。スイーツは基本的にすべてグルテンフリーやグルテンレスを意識して作られているが、食事メニューを含め全店完全グルテンフリーとは確認できず、一部対応の位置づけ。クロスコンタミネーションの明記はなく、要注意の方は店へ確認を推奨。営業11:00〜22:00（料理LO20:00／全体LO21:00）。,2026-06-24
